SalesOrderID,Country,OrderDate,SalesChannelCode,ProdID,StyleName,CustomerAccountNumber,StoreKey,ProductLabel,ProductName,ProductDescription,Manufacturer,BrandName,Class,Color,StockType,Units,SalesAmount,RePurch,NSAT,SubCategory,Category,Sale Size
SO641601,Germany,"Friday, September 25, 2015",I,404,Product0301067,AW00019339,,301067,Proseware Laptop19 X910 Black,"320 GB hard drive, 4 GB RAM 19-inches LCD","Proseware, Inc.",Proseware,Deluxe,Black,High,2,"$2,598.00 ",1,2,Laptops,Computers,Medium
SO626911,Australia,"Sunday, July 12, 2015",I,380,Product0301043,AW00011898,,301043,Adventure Works Laptop19W X1980 Red,"320 GB hard drive, 4 GB RAM 19-inches widescreen LCD with perfect 16:9 aspect ratio",Adventure Works,Adventure Works,Deluxe,Red,High,3,"$3,897.00 ",5,2,Laptops,Computers,Medium
SO553411,France,"Sunday, March 1, 2015",I,404,Product0301067,AW00014930,,301067,Proseware Laptop19 X910 Black,"320 GB hard drive, 4 GB RAM 19-inches LCD","Proseware, Inc.",Proseware,Deluxe,Black,High,3,"$3,897.00 ",3,5,Laptops,Computers,Medium
SO492151,United States,"Monday, September 8, 2014",I,362,Product0301025,AW00015521,,301025,Adventure Works Laptop19 X1900 Black,"320 GB hard drive, 4 GB RAM 19-inches LCD",Adventure Works,Adventure Works,Deluxe,Black,High,2,"$2,598.00 ",4,5,Laptops,Computers,Medium
SO461141,United States,"Wednesday, March 5, 2014",I,368,Product0301031,AW00012053,,301031,Adventure Works Laptop19W X1980 White,"320 GB hard drive, 4 GB RAM 19-inches widescreen LCD with perfect 16:9 aspect ratio",Adventure Works,Adventure Works,Deluxe,White,High,3,"$3,897.00 ",3,5,Laptops,Computers,Medium
SO461161,United States,"Thursday, January 2, 2014",I,390,Product0301053,AW00014912,,301053,WWI Laptop19W X0196 Black,"320 GB hard drive, 4 GB RAM 19-inches widescreen LCD with perfect 16:9 aspect ratio",Wide World Importers,Wide World Importers,Deluxe,Black,High,3,"$3,897.00 ",2,5,Laptops,Computers,Medium
SO458541,Great Britain,"Wednesday, October 23, 2013",I,396,Product0301059,AW00015620,,301059,WWI Laptop19W X0196 White,"320 GB hard drive, 4 GB RAM 19-inches widescreen LCD with perfect 16:9 aspect ratio",Wide World Importers,Wide World Importers,Deluxe,White,High,2,"$2,598.00 ",4,5,Laptops,Computers,Medium
SO475211,Great Britain,"Thursday, October 17, 2013",I,374,Product0301037,AW00016445,,301037,Adventure Works Laptop19W X1980 Silver,"320 GB hard drive, 4 GB RAM 19-inches widescreen LCD with perfect 16:9 aspect ratio",Adventure Works,Adventure Works,Deluxe,Silver,High,2,"$2,598.00 ",4,7,Laptops,Computers,Medium
SO484771,United States,"Sunday, September 22, 2013",I,410,Product0301073,AW00026611,,301073,Proseware Laptop19W X910 White,"320 GB hard drive, 4 GB RAM 19-inches widescreen LCD with perfect 16:9 aspect ratio","Proseware, Inc.",Proseware,Deluxe,White,High,2,"$2,598.00 ",5,5,Laptops,Computers,Medium
SO464541,Australia,"Thursday, September 5, 2013",I,380,Product0301043,AW00020812,,301043,Adventure Works Laptop19W X1980 Red,"320 GB hard drive, 4 GB RAM 19-inches widescreen LCD with perfect 16:9 aspect ratio",Adventure Works,Adventure Works,Deluxe,Red,High,1,"$1,299.00 ",6,2,Laptops,Computers,Medium
SO479071,Australia,"Friday, August 23, 2013",I,410,Product0301073,AW00021999,,301073,Proseware Laptop19W X910 White,"320 GB hard drive, 4 GB RAM 19-inches widescreen LCD with perfect 16:9 aspect ratio","Proseware, Inc.",Proseware,Deluxe,White,High,2,"$2,598.00 ",2,7,Laptops,Computers,Medium
SO454711,United States,"Monday, July 22, 2013",I,390,Product0301053,AW00029280,,301053,WWI Laptop19W X0196 Black,"320 GB hard drive, 4 GB RAM 19-inches widescreen LCD with perfect 16:9 aspect ratio",Wide World Importers,Wide World Importers,Deluxe,Black,High,2,"$2,598.00 ",3,1,Laptops,Computers,Medium
SO485501,France,"Thursday, November 1, 2012",I,368,Product0301031,AW00019315,,301031,Adventure Works Laptop19W X1980 White,"320 GB hard drive, 4 GB RAM 19-inches widescreen LCD with perfect 16:9 aspect ratio",Adventure Works,Adventure Works,Deluxe,White,High,2,"$2,598.00 ",1,5,Laptops,Computers,Medium
SO447071,United States,"Friday, April 27, 2012",I,396,Product0301059,AW00028649,,301059,WWI Laptop19W X0196 White,"320 GB hard drive, 4 GB RAM 19-inches widescreen LCD with perfect 16:9 aspect ratio",Wide World Importers,Wide World Importers,Deluxe,White,High,1,"$1,299.00 ",5,5,Laptops,Computers,Medium
SO499061,United States,"Wednesday, February 18, 2015",I,433,Product0303018,AW00027193,,303018,Adventure Works Desktop PC2.33 XD233 White,"2.33GHz dual processor, 4MB L2 cache, 750GB 7200RPM hard drive",Adventure Works,Adventure Works,Deluxe,White,High,3,"$2,907.00 ",6,5,Desktops,Computers,Medium
SO490001,Great Britain,"Thursday, February 12, 2015",I,438,Product0303023,AW00012460,,303023,WWI Desktop PC2.33 X2330 Silver,"2.33GHz dual processor, 750GB 7200RPM hard drive, 19” widescreen LCD monitors",Wide World Importers,Wide World Importers,Deluxe,Silver,High,2,"$1,838.00 ",4,2,Desktops,Computers,Medium
